,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
1122,7.2,7,7,1,809,0,1.504,38.0,18.98,-0.5858,128.034
1123,6.6,5,5,0,791,0,2.978,32.0,10.0,-18.2242,120.358
1124,6.9,7,5,0,747,0,1.205,21.0,35.0,0.5126,126.189
1125,7.1,9,9,0,1646,77,0.04616,43.0,8.0,35.7695,-117.599
1126,7.3,4,6,1,952,0,2.629,16.0,212.0,-6.4078,129.169
1127,7.3,8,6,1,830,0,1.402,11.0,46.0,-30.6441,-178.1
1128,6.6,7,6,1,886,0,1.193,22.0,57.92,13.1994,-89.3056
1129,8.0,9,8,1,1890,0,3.18,17.0,122.57,-5.8119,-75.2697
1130,7.6,7,7,1,929,0,0.453,16.0,10.0,-4.051,152.597
1131,7.1,7,6,1,826,0,2.514,16.0,146.0,-6.9746,146.449
1132,6.8,5,6,1,717,0,0.791,28.0,15.46,-1.8146,122.58
1133,6.5,0,5,1,650,0,7.568,18.0,38.0,-58.6262,-25.304
1134,7.0,7,4,1,869,0,2.501,42.0,267.0,-14.7131,-70.1546
1135,7.5,7,7,1,1145,0,2.045,15.0,145.0,-2.1862,-77.0505
1136,6.7,6,6,1,909,0,0.289,43.0,66.0,14.6802,-92.4527
1137,6.7,0,3,0,691,0,7.527,17.0,13.0,-43.1219,42.3568
1138,6.7,8,8,1,1600,0,0.173,22.0,63.0,-30.0404,-71.3815
1139,6.6,5,4,1,671,0,7.818,18.0,35.0,-13.336,166.875
1140,6.6,2,4,1,672,0,1.596,33.0,43.21,2.258,126.758
1141,6.8,3,3,0,715,0,1.181,16.0,570.41,-8.144,-71.587
1142,7.0,5,5,1,803,0,1.769,21.0,60.21,5.8983,126.921
1143,7.3,3,7,1,822,0,4.126,23.0,16.56,55.0999,164.699
1144,7.1,0,5,1,776,0,7.043,20.0,133.0,-58.5446,-26.3856
1145,6.6,0,4,1,670,0,2.679,31.0,10.0,-22.0629,169.733
1146,7.5,3,6,1,871,0,2.405,18.0,10.0,-21.9496,169.427
1147,7.1,8,8,1,1790,0,0.0,0.0,46.7,61.3464,-149.955
1148,6.8,0,3,1,711,0,2.879,39.0,540.0,-17.8735,-178.927
1149,6.7,3,4,1,693,0,7.853,19.0,10.0,71.6312,-11.2431
1150,6.8,8,7,0,954,0,2.268,15.0,14.0,37.5203,20.5565
1151,6.5,2,4,0,655,0,1.692,68.0,10.0,49.297,-129.724
1152,6.8,4,4,1,776,0,1.505,36.0,10.0,49.3346,-129.289
1153,6.5,3,4,1,669,0,1.611,63.0,10.0,49.2586,-129.412
1154,6.5,0,4,1,650,0,2.109,22.0,17.0,-21.7427,169.522
1155,6.7,0,3,1,691,0,2.705,17.0,461.0,52.8549,153.243
1156,6.5,0,4,1,650,0,3.923,14.0,20.0,49.2902,156.297
1157,7.0,6,6,1,758,0,1.778,18.0,39.0,-5.7012,151.205
1158,6.7,2,3,1,691,0,3.745,23.0,550.0,-18.3604,-178.063
1159,7.5,8,8,0,2026,0,1.649,13.0,20.0,-0.2559,119.846
1160,6.5,4,1,0,651,0,5.139,18.0,576.0,-25.415,178.199
1161,6.9,3,4,0,735,0,2.785,18.0,115.0,-31.7447,-179.373
1162,6.5,3,6,1,651,0,1.638,25.0,68.0,-10.0207,161.503
1163,7.9,7,4,1,979,0,1.431,12.0,670.81,-18.4743,179.35
1164,6.6,8,9,1,1075,0,1.13,32.0,35.0,42.6861,141.929
1165,7.1,2,5,1,776,0,2.548,23.0,21.43,-22.0295,170.126
1166,7.1,0,3,0,776,0,3.77,12.0,630.0,-11.0355,-70.8284
1167,6.5,6,7,1,652,0,4.797,10.0,9.0,-16.0315,168.143
1168,7.3,8,6,1,1570,0,1.822,15.0,146.82,10.7731,-62.9019
1169,6.9,7,7,0,1206,0,2.453,31.0,21.0,-8.319,116.627
1170,8.2,5,4,1,1050,0,3.63,13.0,600.0,-18.1125,-178.153
1171,6.5,5,3,0,743,0,2.719,23.0,529.0,-7.3718,119.802
1172,6.5,6,6,1,655,0,0.576,22.0,33.93,51.4234,-178.026
1173,6.9,9,8,0,1704,0,2.271,15.0,34.0,-8.2581,116.438
1174,6.9,7,8,1,1392,63,0.11,210.0,5.81,19.3182,-155.0
1175,6.8,5,3,0,733,0,5.32,16.0,559.0,-20.6588,-63.0058
1176,6.9,9,6,1,741,0,1.487,18.0,35.0,-5.5321,151.5
1177,6.7,5,6,1,696,0,1.507,15.0,40.0,-5.5024,151.402
1178,6.8,6,6,1,719,0,1.049,16.0,22.86,-4.3762,153.2
1179,6.7,8,7,1,697,0,5.457,19.0,20.49,-6.3043,142.612
1180,7.5,9,8,1,943,0,5.48,17.0,25.21,-6.0699,142.754
1181,7.2,7,7,1,1384,0,0.142,82.0,22.0,16.3855,-97.9787
1182,7.9,9,4,1,1870,0,2.585,30.0,14.06,56.0039,-149.166
1183,7.1,9,7,1,1075,0,4.29,23.0,39.0,-15.7675,-74.7092
1184,7.5,8,5,1,1623,0,4.581,12.0,19.0,17.4825,-83.52
1185,6.5,8,7,0,998,0,2.365,28.0,90.0,-7.4921,108.174
1186,6.5,1,5,1,651,0,17.654,23.0,17.0,-54.2189,2.1628
1187,7.0,4,6,1,771,0,0.617,14.0,10.0,-21.3246,168.671
1188,6.6,4,5,1,676,0,0.529,21.0,13.0,-21.5027,168.598
